sa2_code,sa2_label,digital_jobs,digital_businesses,digital_job_share,digital_business_share,digital_income_weighted,digital_income_premium,jobs_per_digital_business,digital_solo_share,digital_large_employer_share,male_median_income,female_median_income,gender_income_gap,female_employment_share,ecosystem_category
303051074,Pallara - Willawong,1032.0,116.0,0.0892579138557343,0.1024734982332155,56699.87209302326,19007.78646769892,8.89655172413793,0.5603448275862069,0.0,74338.0,57215.0,17123.0,0.4848009650180941,emerging growth corridor
303051075,Parkinson - Drewvale,1114.0,154.0,0.0870244512147488,0.1173780487804878,52625.32271095153,12814.449263564602,7.233766233766234,0.5844155844155844,0.0,68493.0,55712.0,12781.0,0.4901719901719901,lower digital concentration
303051076,Rocklea - Acacia Ridge,509.0,178.0,0.061876975443715,0.0762966138019717,39863.44106090373,10905.107362873096,2.859550561797753,0.4775280898876404,0.0730337078651685,58267.0,48836.0,9431.0,0.4494949494949495,lower digital concentration
303061077,Kuraby,603.0,97.0,0.0951254141031708,0.1038543897216274,53434.63018242123,16377.203380086474,6.216494845360825,0.6185567010309279,0.0,64225.0,49862.5,14362.5,0.4709754637941352,lower digital concentration
303061078,Runcorn,1101.0,117.0,0.0908940807397011,0.0759740259740259,50180.76430517711,18892.19702209282,9.41025641025641,0.5470085470085471,0.0256410256410256,57169.0,47386.0,9783.0,0.4798231066887783,lower digital concentration
303061079,Sunnybank,654.0,95.0,0.0727798798130425,0.0911708253358925,38163.47094801223,17661.642492637206,6.88421052631579,0.5684210526315789,0.0,46588.0,39343.0,7245.0,0.4704344985298921,lower digital concentration
303061080,Sunnybank Hills,1328.0,197.0,0.0887463245121625,0.099645928174001,42224.25301204819,14145.123868770992,6.741116751269035,0.6243654822335025,0.0,55979.0,45730.5,10248.5,0.477665113729789,lower digital concentration
304011081,Jindalee - Mount Ommaney,662.0,132.0,0.1127384196185286,0.1833333333333333,61205.05438066465,15914.185766904431,5.015151515151516,0.6515151515151515,0.0,83289.0,61846.0,21443.0,0.4888249612746183,small-business / consultant-heavy
304011082,Middle Park - Jamboree Heights,601.0,90.0,0.1076675026872088,0.2036199095022624,64983.32778702163,20424.286224857533,6.677777777777778,0.6888888888888889,0.0,77080.5,57390.0,19690.5,0.4897003745318352,small-business / consultant-heavy
304011084,Seventeen Mile Rocks - Sinnamon Park,963.0,204.0,0.1281948881789137,0.1880184331797235,73412.01869158879,23283.06122353767,4.720588235294118,0.5343137254901961,0.0147058823529411,93400.5,60876.0,32524.5,0.5061601642710473,high-income specialist
304021086,Bellbowrie - Moggill,1024.0,205.0,0.121384542437174,0.2618135376756066,72981.62548828125,27035.47138681136,4.995121951219512,0.624390243902439,0.0,88659.0,58435.0,30224.0,0.5007708911501696,high-income specialist
304021087,Brookfield - Kenmore Hills,926.0,238.0,0.1800855698171917,0.2761020881670533,64675.2181425486,18651.40415966256,3.890756302521008,0.4873949579831932,0.0126050420168067,93187.5,58125.0,35062.5,0.4956500724987916,digitally specialised
304021088,Chapel Hill,1447.0,316.0,0.1760554812020927,0.3237704918032787,74732.18590186593,23758.688882763847,4.579113924050633,0.5632911392405063,0.0,101169.5,63247.0,37922.5,0.4909175593851886,high-income specialist
